timestamp,Station | Dostyk St,Station | Astana Mall,Station | Seifullin St,Station | Triumphal Arch,Station | Palace of Peace,Station | Zhastar Ave,Station | Khan Shatyr,Station | Shakarim St,Station | Central Park,Station | Kosmonavtov St,Station | Kenesary St,Station | Saryarka Ave,Station | Botanical Garden,Station | Abylai Khan Ave,Station | Respublika Ave,Station | Syganak St,Station | Keruen City,Station | Turan Ave,Station | Bogenbai Batyr Ave,Station | Mangilik El Ave,Station | University Quarter,Station | Expo 2017,Station | Kabanbay Batyr Ave,Station | Mega Silk Way,Station | Baiterek,Station | Sarayshyk St,Station | River Embankment,Station | Nurly Zhol,Station | Independence Square,Station | Dostyk St,Station | Astana Mall,Station | Seifullin St,Line | Line 1,Line | Line 2,Line | Line 3,Line | Line 4,Line | Line 5,Line | Line 6,Line | Line 7,Line | Line 8,Line | Line 9,District | Esil,District | Almaty,District | Saryarka,District | Baikonur,Network | Total
2025-10-01 05:00:00,5.0,5.0,13.0,7.0,2.0,1.0,5.0,1.0,7.0,4.0,5.0,7.0,4.0,1.0,6.0,2.0,4.0,5.0,5.0,2.0,9.0,4.0,9.0,9.0,24.0,1.0,7.0,5.0,8.0,10.0,2.0,1.0,78.0,73.0,63.0,55.0,48.0,51.0,31.0,53.0,46.0,70.0,40.0,53.0,17.0,180.0
2025-10-01 05:10:00,3.0,7.0,10.0,9.0,3.0,3.0,4.0,1.0,7.0,6.0,4.0,11.0,4.0,3.0,5.0,12.0,1.0,8.0,15.0,5.0,2.0,10.0,3.0,9.0,4.0,0.0,7.0,3.0,4.0,3.0,0.0,10.0,68.0,49.0,39.0,62.0,61.0,68.0,42.0,51.0,53.0,63.0,43.0,51.0,19.0,176.0
2025-10-01 05:20:00,3.0,4.0,6.0,5.0,6.0,7.0,10.0,2.0,8.0,2.0,1.0,9.0,8.0,2.0,4.0,6.0,4.0,7.0,6.0,2.0,3.0,5.0,12.0,6.0,12.0,6.0,4.0,7.0,2.0,7.0,8.0,10.0,78.0,60.0,54.0,54.0,63.0,57.0,41.0,58.0,46.0,68.0,46.0,46.0,24.0,184.0
2025-10-01 05:30:00,5.0,6.0,19.0,1.0,3.0,8.0,4.0,1.0,11.0,1.0,2.0,8.0,6.0,4.0,3.0,4.0,8.0,6.0,10.0,4.0,0.0,4.0,13.0,1.0,3.0,2.0,4.0,0.0,9.0,4.0,7.0,13.0,50.0,42.0,37.0,60.0,72.0,85.0,55.0,66.0,52.0,40.0,34.0,74.0,26.0,174.0
2025-10-01 05:40:00,1.0,4.0,5.0,4.0,9.0,3.0,7.0,2.0,12.0,1.0,11.0,4.0,0.0,3.0,9.0,6.0,9.0,9.0,15.0,4.0,7.0,9.0,8.0,2.0,8.0,4.0,7.0,4.0,1.0,8.0,4.0,4.0,68.0,65.0,49.0,79.0,73.0,54.0,26.0,41.0,37.0,45.0,62.0,53.0,24.0,184.0
2025-10-01 05:50:00,18.0,7.0,11.0,6.0,2.0,15.0,8.0,4.0,6.0,8.0,2.0,9.0,2.0,4.0,5.0,7.0,19.0,7.0,11.0,7.0,7.0,2.0,6.0,21.0,7.0,9.0,1.0,4.0,15.0,7.0,7.0,9.0,81.0,78.0,72.0,98.0,86.0,103.0,71.0,92.0,58.0,71.0,52.0,78.0,52.0,253.0
2025-10-01 06:00:00,7.0,15.0,43.0,10.0,16.0,33.0,13.0,11.0,13.0,13.0,8.0,9.0,12.0,13.0,6.0,26.0,27.0,10.0,26.0,10.0,12.0,14.0,27.0,24.0,19.0,11.0,5.0,22.0,27.0,19.0,10.0,15.0,167.0,148.0,142.0,179.0,183.0,207.0,141.0,191.0,157.0,128.0,127.0,164.0,107.0,526.0
2025-10-01 06:10:00,7.0,4.0,16.0,18.0,8.0,11.0,34.0,5.0,22.0,10.0,6.0,13.0,13.0,8.0,16.0,12.0,22.0,16.0,30.0,0.0,7.0,16.0,13.0,48.0,23.0,12.0,11.0,20.0,19.0,16.0,19.0,19.0,210.0,173.0,150.0,209.0,174.0,157.0,86.0,113.0,100.0,191.0,118.0,128.0,57.0,494.0
2025-10-01 06:20:00,6.0,13.0,29.0,30.0,13.0,19.0,29.0,9.0,31.0,8.0,17.0,19.0,15.0,16.0,20.0,23.0,9.0,8.0,33.0,23.0,14.0,27.0,16.0,37.0,41.0,25.0,4.0,9.0,9.0,10.0,33.0,17.0,236.0,180.0,146.0,199.0,232.0,218.0,145.0,176.0,146.0,229.0,169.0,141.0,73.0,612.0
2025-10-01 06:30:00,6.0,12.0,26.0,18.0,30.0,24.0,24.0,6.0,49.0,19.0,16.0,10.0,18.0,18.0,21.0,9.0,33.0,30.0,34.0,18.0,19.0,54.0,25.0,34.0,55.0,28.0,24.0,9.0,28.0,11.0,23.0,13.0,315.0,274.0,223.0,290.0,268.0,227.0,116.0,167.0,135.0,245.0,199.0,204.0,96.0,744.0
